Atomic Li wave function in real space
Atomic number
  3
Total number of orbitals
 15
The [2S] state electronic configuration
Number of up, downspin electrons, determinants 
  2  1   252
    0.391634424819715E-05
    0.397226749801509E-05
    0.402894138428646E-05
    0.408637598251808E-05
    0.414458150345645E-05
    0.420356829490304E-05
    0.426334684355392E-05
    0.432392777686406E-05
    0.438532186493671E-05
    0.444754002243813E-05
    0.451059331053795E-05
    0.457449293887568E-05
    0.463925026755355E-05
    0.470487680915611E-05
    0.477138423079691E-05
    0.483878435619276E-05
    0.490708916776568E-05
    0.497631080877318E-05
    0.504646158546710E-05
    0.511755396928137E-05
    0.518960059904926E-05
    0.526261428325025E-05
    0.533660800228717E-05
    0.541159491079384E-05
    0.548758833997371E-05
    0.556460179996990E-05
    0.564264898226702E-05
    0.572174376212526E-05
    0.580190020104713E-05
    0.588313254927733E-05
    0.596545524833616E-05
    0.604888293358693E-05
    0.613343043683787E-05
    0.621911278897890E-05
    0.630594522265384E-05
    0.639394317496848E-05
    0.648312229023501E-05
    0.657349842275323E-05
    0.666508763962918E-05
    0.675790622363152E-05
    0.685197067608633E-05
    0.694729771981066E-05
    0.704390430208558E-05
    0.714180759766905E-05
    0.724102501184924E-05
    0.734157418353889E-05
    0.744347298841110E-05
    0.754673954207736E-05
    0.765139220330806E-05
    0.775744957729638E-05
    0.786493051896594E-05
    0.797385413632276E-05
    0.808423979385236E-05
    0.819610711596237E-05
    0.830947599047136E-05
    0.842436657214449E-05
    0.854079928627664E-05
    0.865879483232366E-05
    0.877837418758228E-05
    0.889955861091948E-05
    0.902236964655193E-05
    0.914682912787608E-05
    0.927295918134974E-05
    0.940078223042572E-05
    0.953032099953829E-05
    0.966159851814313E-05
    0.979463812481153E-05
    0.992946347137952E-05
    0.100660985271527E-04
    0.102045675831675E-04
    0.103448952565097E-04
    0.104871064946907E-04
    0.106312265800832E-04
    0.107772811344151E-04
    0.109252961233252E-04
    0.110752978609792E-04
    0.112273130147477E-04
    0.113813686099473E-04
    0.115374920346451E-04
    0.116957110445279E-04
    0.118560537678363E-04
    0.120185487103656E-04
    0.121832247605336E-04
    0.123501111945164E-04
    0.125192376814527E-04
    0.126906342887190E-04
    0.128643314872747E-04
    0.130403601570794E-04
    0.132187515925822E-04
    0.133995375082860E-04
    0.135827500443854E-04
    0.137684217724804E-04
    0.139565857013672E-04
    0.141472752829066E-04
    0.143405244179708E-04
    0.145363674624705E-04
    0.147348392334629E-04
    0.149359750153411E-04
    0.151398105661071E-04
    0.153463821237290E-04
    0.155557264125834E-04
    0.157678806499841E-04
    0.159828825527988E-04
    0.162007703441540E-04
    0.164215827602313E-04
    0.166453590571526E-04
    0.168721390179602E-04
    0.171019629596888E-04
    0.173348717405334E-04
    0.175709067671128E-04
    0.178101100018313E-04
    0.180525239703384E-04
    0.182981917690891E-04
    0.185471570730057E-04
    0.187994641432426E-04
    0.190551578350545E-04
    0.193142836057710E-04
    0.195768875228785E-04
    0.198430162722093E-04
    0.201127171662420E-04
    0.203860381525126E-04
    0.206630278221384E-04
    0.209437354184570E-04
    0.212282108457803E-04
    0.215165046782668E-04
    0.218086681689128E-04
    0.221047532586639E-04
    0.224048125856491E-04
    0.227088994945392E-04
    0.230170680460298E-04
    0.233293730264529E-04
    0.236458699575165E-04
    0.239666151061752E-04
    0.242916654946336E-04
    0.246210789104834E-04
    0.249549139169773E-04
    0.252932298634402E-04
    0.256360868958202E-04
    0.259835459673817E-04
    0.263356688495413E-04
    0.266925181428501E-04
    0.270541572881221E-04
    0.274206505777136E-04
    0.277920631669523E-04
    0.281684610857211E-04
    0.285499112501971E-04
    0.289364814747475E-04
    0.293282404839857E-04
    0.297252579249897E-04
    0.301276043796837E-04
    0.305353513773858E-04
    0.309485714075251E-04
    0.313673379325287E-04
    0.317917254008816E-04
    0.322218092603627E-04
    0.326576659714575E-04
    0.330993730209515E-04
    0.335470089357057E-04
    0.340006532966172E-04
    0.344603867527673E-04
    0.349262910357589E-04
    0.353984489742472E-04
    0.358769445086649E-04
    0.363618627061450E-04
    0.368532897756441E-04
    0.373513130832690E-04
    0.378560211678082E-04
    0.383675037564726E-04
    0.388858517808476E-04
    0.394111573930580E-04
    0.399435139821518E-04
    0.404830161907025E-04
    0.410297599316348E-04
    0.415838424052760E-04
    0.421453621166362E-04
    0.427144188929208E-04
    0.432911139012776E-04
    0.438755496667827E-04
    0.444678300906669E-04
    0.450680604687877E-04
    0.456763475103488E-04
    0.462927993568707E-04
    0.469175256014164E-04
